name,power,attack_type,type,accuracy,pp,ignoreEvasion,ignoreDef,ignoreWeather,ignoreType,ignoreImmunity,ignoreBarrier,ignoreAbility,ignoreInvulnerability,targetAtk,inverseDef,DefAsAtk,multiType,interchangeType,charging,crit,priority,recoil,deduct,crash,multi,flags,custom,effect_type,special_effect,effect_accuracy,power_when,weather_when,fails_unless,remarks
Leaf Storm,130,Special,Grass,0.9,5,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,self_modifier,"0,0,0,-2,0,0,0,0,0",1,,,,
Fleur Cannon,130,Special,Fairy,0.9,5,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,self_modifier,"0,0,0,-2,0,0,0,0,0",1,,,,
Leech Life,80,Physical,Bug,1,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",a,,hp_draining,0.5,1,,,,
Horn Leech,75,Physical,Grass,1,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",a,,hp_draining,0.5,1,,,,
Light Screen,0,Status,Psychic,9,20,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",b,,self_team_buff,Light Screen,1,,,,
Liquidation,85,Physical,Water,1,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",a,,opponent_modifier,"0,0,-1,0,0,0,0,0,0",0.2,,,,
Lovely Kiss,0,Status,Normal,0.75,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,target_non_volatile,@Sleep,1,,,,
Hyper Voice,90,Special,Normal,1,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",f,,no_effect,,1,,,,
Low Sweep,65,Physical,Fighting,1,20,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",a,,opponent_modifier,"0,0,0,0,0,-1,0,0,0",1,,,,
Lunge,80,Physical,Bug,1,15,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",a,,opponent_modifier,"0,-1,0,0,0,0,0,0,0",1,,,,
Mean Look,0,Status,Normal,1,20,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",b,,target_volatile,@Trapped,1,,,,
Megahorn,120,Physical,Bug,0.85,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",a,,no_effect,,1,,,,
Memento,0,Status,Dark,1,10,,,,,,,,,,,,,,,0,0,0,1,0,"0,1",,,opponent_modifier,"0,-2,0,-2,0,0,0,0,0",1,,,,
Mind Blown,150,Special,Fire,1,5,,,,,,,,,,,,,,,0,0,0,0.5,0,"0,1",,,no_effect,,1,,,,in code: read by a character ability (Scripts/Data/character_abilities.py:204)
Mirror Coat,0,Status,Psychic,1,20,,,,,,,,,,,,,,,0,-5,0,0,0,"0,1",,,countering,,1,,,,in code: reads the target's last move (Scripts/Battle/move_additional_effect.py:384)
Moonblast,95,Special,Fairy,1,15,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,opponent_modifier,"0,0,0,-1,0,0,0,0,0",0.3,,,,
Muddy Water,90,Special,Water,0.85,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,opponent_modifier,"0,0,0,0,0,0,0,-1,0",0.3,,,,
Nasty Plot,0,Status,Dark,9,20,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",b,,self_modifier,"0,0,0,2,0,0,0,0,0",1,,,,
Night Daze,85,Special,Dark,0.95,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,opponent_modifier,"0,0,0,0,0,0,0,-1,0",0.4,,,,
Night Slash,70,Physical,Dark,1,15,,,,,,,,,,,,,,,1,0,0,0,0,"0,1",,,no_effect,,1,,,,
Nuzzle,20,Physical,Electric,1,20,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",a,,target_non_volatile,@Paralysis,1,,,,
Outrage,120,Physical,Dragon,1,10,,,,,,,,,,,,,,Frenzy,0,0,0,0,0,"0,1",a,,no_effect,,1,,,,
Pain Split,0,Status,Normal,9,5,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,hp_split,Split,1,,,,
Parabolic Charge,65,Special,Electric,1,20,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,hp_draining,0.5,1,,,,
Parting Shot,0,Status,Dark,1,20,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,switching|opponent_modifier,"~|0,-1,0,-1,0,0,0,0,0",1,,,,
Tearful Look,0,Status,Normal,9,20,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,opponent_modifier,"0,-1,0,-1,0,0,0,0,0",1,,,,
Payback,50,Physical,Dark,1,20,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",a,,after_hand,,1,,,,
Petal Dance,120,Special,Grass,1,10,,,,,,,,,,,,,,Frenzy,0,0,0,0,0,"0,1",,,no_effect,,1,,,,
Phantom Force,90,Physical,Ghost,1,10,,,,,,,,,,,,,,Semi-invulnerable,0,0,0,0,0,"0,1",a,,no_effect,,1,,,,
Pin Missile,25,Physical,Bug,0.9,20,,,,,,,,,,,,,,,0,0,0,0,0,"1,5",,,no_effect,,1,,,,
Play Rough,90,Physical,Fairy,0.9,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",a,,opponent_modifier,"0,-1,0,0,0,0,0,0,0",0.1,,,,
Poison Fang,50,Physical,Poison,1,15,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",ad,,target_non_volatile,@BadPoison,0.5,,,,
Poison Jab,80,Physical,Poison,1,20,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",a,,target_non_volatile,@Poison,0.3,,,,
Poison Tail,50,Physical,Poison,1,25,,,,,,,,,,,,,,,1,0,0,0,0,"0,1",a,,target_non_volatile,@Poison,0.1,,,,
Pollen Puff,90,Special,Bug,1,15,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",i,,no_effect,,1,,,,
Power Gem,80,Special,Rock,1,20,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,no_effect,,1,,,,
Power Trip,20,Physical,Dark,1,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",a,,modifier_dependent,,1,,,,
Power Whip,120,Physical,Grass,0.85,15,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",a,,no_effect,,1,,,,
Power-Up Punch,40,Physical,Fighting,1,20,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",ae,,self_modifier,"0,1,0,0,0,0,0,0,0",1,,,,
Protect,0,Status,Normal,9,10,,,,,,,,,,,,,,,0,4,0,0,0,"0,1",b,,user_protection,,1,,,,in code: the AI weighs it specially (Scripts/Battle/ai.py:358)
Psychic Fangs,85,Physical,Psychic,1,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",ad,,remove_team_buff,,1,,,,
Psychic,90,Special,Psychic,1,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,opponent_modifier,"0,0,0,0,-1,0,0,0,0",0.1,,,,
Psycho Cut,70,Physical,Psychic,1,20,,,,,,,,,,,,,,,1,0,0,0,0,"0,1",a,,no_effect,,1,,,,
Psyshock,80,Special,Psychic,1,10,,,,,,,,,,Y,,,,,0,0,0,0,0,"0,1",,,no_effect,,1,,,,
Quick Attack,40,Physical,Normal,1,30,,,,,,,,,,,,,,,0,1,0,0,0,"0,1",a,,no_effect,,1,,,,
Quiver Dance,0,Status,Bug,9,20,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",b,,self_modifier,"0,0,0,1,1,1,0,0,0",1,,,,
Raging Fury,90,Physical,Fire,1,10,,,,,,,,,,,,,,Frenzy,0,0,0,0,0,"0,1",a,,no_effect,,1,,,,
Rain Dance,0,Status,Water,9,5,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",b,,weather_effect,Rain,1,,,,
Rapid Spin,50,Physical,Normal,1,40,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",a,,self_modifier|clear_entry_hazard,"0,0,0,0,0,1,0,0,0|~",1,,,,in code: clears hazards on its own side only (Scripts/Battle/move_additional_effect.py:258)
Razor Shell,75,Physical,Water,0.95,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",a,,opponent_modifier,"0,0,-1,0,0,0,0,0,0",0.5,,,,
Recover,0,Status,Normal,9,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",b,,self_heal,0.3,1,,,,
Reflect,0,Status,Psychic,9,20,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",b,,self_team_buff,Reflect,1,,,,
Tailwind,0,Status,Flying,9,20,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",b,,self_team_buff,Tailwind,1,,,,
Revenge,60,Physical,Fighting,1,20,,,,,,,,,,,,,,,0,-4,0,0,0,"0,1",a,,after_hand,,1,,,,
Rock Blast,25,Physical,Rock,0.9,10,,,,,,,,,,,,,,,0,0,0,0,0,"1,5",i,,no_effect,,1,,,,
Tail Slap,25,Physical,Normal,0.85,10,,,,,,,,,,,,,,,0,0,0,0,0,"1,5",a,,no_effect,,1,,,,
Fireballs,25,Physical,Fire,0.9,10,,,,,,,,,,,,,,,0,0,0,0,0,"1,5",i,,no_effect,,1,,,,
Water Shuriken,20,Special,Water,1,20,,,,,,,,,,,,,,,0,1,0,0,0,"1,5",,,no_effect,,1,,,,in code: read by the Battle Bond ability (Scripts/Data/abilities.py:839)
Rock Slide,75,Physical,Rock,0.9,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,target_volatile,@Flinch,0.3,,,,
Sacred Sword,90,Physical,Fighting,1,15,Y,Y,,,,,,,,,,,,,0,0,0,0,0,"0,1",a,,no_effect,,1,,,,
Sand Tomb,35,Physical,Ground,0.85,15,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,target_volatile,@Binding,1,,,,
Sandstorm,0,Status,Ground,9,5,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",b,,weather_effect,Sandstorm,1,,,,
Scald,80,Special,Water,1,15,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",c,,target_non_volatile,@Burn,0.3,,,,
Searing Shot,100,Special,Fire,1,5,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",i,,target_non_volatile,@Burn,0.3,,,,
Seed Bomb,80,Physical,Grass,1,15,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",i,,no_effect,,1,,,,
Self-Destruct,200,Physical,Normal,1,5,,,,,,,,,,,,,,,0,0,0,1,0,"0,1",,,no_effect,,1,,,,
Shadow Ball,80,Special,Ghost,1,15,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",i,,opponent_modifier,"0,0,0,0,-1,0,0,0,0",0.2,,,,
Shadow Claw,80,Physical,Ghost,1,20,,,,,,,,,,,,,,,1,0,0,0,0,"0,1",a,,no_effect,,1,,,,
Slash,70,Physical,Normal,1,20,,,,,,,,,,,,,,,1,0,0,0,0,"0,1",a,,no_effect,,1,,,,
Frost Breath,60,Special,Ice,0.9,10,,,,,,,,,,,,,,,4,0,0,0,0,"0,1",,,no_effect,,1,,,,
Shadow Sneak,40,Physical,Ghost,1,30,,,,,,,,,,,,,,,0,1,0,0,0,"0,1",a,,no_effect,,1,,,,
Shell Smash,0,Status,Normal,9,20,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",b,,self_modifier,"0,2,-1,2,-1,2,0,0,0",1,,,,
Signal Beam,75,Special,Bug,1,15,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,target_volatile,@Confused,0.1,,,,
Slack Off,0,Status,Normal,9,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",b,,self_heal,0.3,1,,,,
Sleep Powder,0,Status,Grass,0.75,15,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",g,,target_non_volatile,@Sleep,1,,,,
Sludge Bomb,90,Special,Poison,1,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",i,,target_non_volatile,@Poison,0.3,,,,
Sludge Wave,95,Special,Poison,1,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,target_non_volatile,@Poison,0.1,,,,
Solar Beam,120,Special,Grass,1,10,,,,,,,,,,,,,,Charging,0,0,0,0,0,"0,1",,,no_effect,,1,,Hail:half_power|Sunny:no_charge|Rain:half_power|Sandstorm:half_power,,
Skull Bash,130,Physical,Normal,1,10,,,,,,,,,,,,,,Charging,0,0,0,0,0,"0,1",a,,self_modifier,"0,0,1,0,0,0,0,0,0",1,,,,
Solar Blade,125,Physical,Grass,1,10,,,,,,,,,,,,,,Charging,0,0,0,0,0,"0,1",a,,no_effect,,1,,Hail:half_power|Sunny:no_charge|Rain:half_power|Sandstorm:half_power,,
Spark,65,Physical,Electric,1,20,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",a,,target_non_volatile,@Paralysis,0.3,,,,
Spikes,0,Status,Ground,9,20,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",b,,apply_entry_hazard,Spikes,1,,,,
Spirit Break,75,Physical,Fairy,1,15,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",a,,opponent_modifier,"0,0,0,-1,0,0,0,0,0",1,,,,
Spore,0,Status,Grass,1,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",g,,target_non_volatile,@Sleep,1,,,,
Stealth Rock,0,Status,Rock,9,20,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",b,,apply_entry_hazard,Stealth Rock,1,,,,
Sticky Web,0,Status,Bug,9,20,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",b,,apply_entry_hazard,Sticky Web,1,,,,
Stone Edge,100,Physical,Rock,0.8,5,,,,,,,,,,,,,,,1,0,0,0,0,"0,1",,,no_effect,,1,,,,
Stored Power,20,Special,Psychic,1,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,modifier_dependent,,1,,,,
Strange Steam,90,Special,Fairy,0.95,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,target_volatile,@Confused,0.2,,,,
Rock Climb,90,Physical,Rock,0.85,20,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",a,,target_volatile,@Confused,0.2,,,,
Dynamic Punch,100,Physical,Fighting,0.5,5,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",a,,target_volatile,@Confused,1,,,,
Strength,80,Physical,Normal,1,15,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",a,,no_effect,,1,,,,
Struggle Bug,50,Special,Bug,1,20,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,opponent_modifier,"0,0,0,-1,0,0,0,0,0",1,,,,
Octazooka,65,Special,Water,0.85,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",i,,opponent_modifier,"0,0,0,0,0,0,0,-1,0",0.5,,,,
Submission,80,Physical,Fighting,0.8,20,,,,,,,,,,,,,,,0,0,0.25,0,0,"0,1",a,,no_effect,,1,,,,
Sucker Punch,70,Physical,Dark,1,5,,,,,,,,,,,,,,,0,1,0,0,0,"0,1",a,,no_effect,,1,,,target_attacks,in code: the AI weighs it specially (the rule itself is data) (Scripts/Battle/ai.py:599)
Sunny Day,0,Status,Fire,9,5,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",b,,weather_effect,Sunny,1,,,,
Superpower,120,Physical,Fighting,1,5,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",a,,self_modifier,"0,-1,-1,0,0,0,0,0,0",1,,,,
Surf,90,Special,Water,1,15,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,no_effect,,1,,,,in code: could be data: double power on a target underwater (Scripts/Battle/battle_move_execution.py:139)
Swords Dance,0,Status,Normal,9,20,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",b,,self_modifier,"0,2,0,0,0,0,0,0,0",1,,,,
Shift Gear,0,Status,Steel,9,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",b,,self_modifier,"0,1,0,0,0,2,0,0,0",1,,,,
Scary Face,0,Status,Normal,1,20,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,opponent_modifier,"0,0,0,0,0,-2,0,0,0",1,,,,
Work Up,0,Status,Normal,9,20,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",b,,self_modifier,"0,1,0,1,0,0,0,0,0",1,,,,
Double Team,0,Status,Normal,9,15,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",b,,self_modifier,"0,0,0,0,0,0,1,0,0",1,,,,
Adrenaline,0,Status,Dark,9,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",b,Y,self_modifier|opponent_modifier,"0,2,-2,2,-2,1,0,0,0|0,1,0,1,0,0,0,0,0",1,,,,
Tail Glow,0,Status,Bug,9,20,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",b,,self_modifier,"0,0,0,3,0,0,0,0,0",1,,,,
Take Down,90,Physical,Normal,0.85,20,,,,,,,,,,,,,,,0,0,0.25,0,0,"0,1",a,,no_effect,,1,,,,
Taunt,0,Status,Dark,1,20,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,target_disable,Taunt,1,,,,
Throat Chop,80,Physical,Dark,1,15,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",a,,target_disable,Sound,1,,,,
Thrash,120,Physical,Normal,1,10,,,,,,,,,,,,,,Frenzy,0,0,0,0,0,"0,1",a,,no_effect,,1,,,,
Thunder Punch,75,Physical,Electric,1,15,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",ae,,target_non_volatile,@Paralysis,0.1,,,,
Thunder Wave,0,Status,Electric,0.9,20,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,target_non_volatile,@Paralysis,1,,,,
Thunder,110,Special,Electric,0.7,5,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,target_non_volatile,@Paralysis,0.3,,Sunny:half_accuracy|Rain:always_hits,,in code: could be data: hits a target in the air (Scripts/Battle/battle_move_execution.py:130)
Hurricane,110,Special,Flying,0.7,5,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,target_volatile,@Confused,0.3,,Rain:always_hits,,in code: could be data: hits a target in the air (Scripts/Battle/battle_move_execution.py:130)
Thunderbolt,90,Special,Electric,1,15,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,target_non_volatile,@Paralysis,0.1,,,,
Overdrive,80,Special,Electric,1,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",f,,no_effect,,1,,,,
Tickle,0,Status,Normal,1,20,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,opponent_modifier,"0,-1,-1,0,0,0,0,0,0",1,,,,
Noble Roar,0,Status,Normal,1,30,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",f,,opponent_modifier,"0,-1,0,-1,0,0,0,0,0",1,,,,
Snarl,55,Special,Dark,0.95,15,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",f,,opponent_modifier,"0,0,0,-1,0,0,0,0,0",1,,,,
Torment,0,Status,Dark,1,15,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,target_volatile,@Torment,1,,,,
Toxic Spikes,0,Status,Poison,9,20,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",b,,apply_entry_hazard,Toxic Spikes,1,,,,
Toxic,0,Status,Poison,0.9,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,target_non_volatile,@BadPoison,1,,,,in code: could be data: never misses from a Poison-type user (Scripts/Battle/battle_move_execution.py:68)
Tri Attack,80,Special,Normal,1,10,,,,,,,,,,,,,,,1,0,0,0,0,"0,1",,,target_non_volatile,@Tri,0.2,,,,
Trick Room,0,Status,Psychic,9,5,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",b,,field_effect,Trick Room,1,,,,
U-Turn,70,Physical,Bug,1,20,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",a,,switching,,1,,,,
Flip Turn,60,Physical,Water,1,20,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",a,,switching,,1,,,,
Fell Stinger,50,Physical,Bug,1,25,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",a,,no_effect,,1,,,,in code: fires when the target faints (Scripts/Battle/battle_move_execution.py:188)
Vacuum Wave,40,Special,Fighting,1,35,,,,,,,,,,,,,,,0,1,0,0,0,"0,1",,,no_effect,,1,,,,
Volt Switch,70,Special,Electric,1,20,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,switching,,1,,,,
Wail,90,Special,Ghost,1,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",f,Y,opponent_modifier,"0,0,0,0,-1,0,0,-1,0",0.5,,,,
Water Pulse,60,Special,Water,1,20,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",h,,target_volatile,@Confused,0.2,,,,
Waterfall,80,Physical,Water,1,15,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",a,,target_volatile,@Flinch,0.2,,,,
Whirlpool,35,Special,Water,0.85,15,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,target_volatile,@Binding,1,,,,in code: could be data: double power on a target underwater (Scripts/Battle/battle_move_execution.py:139)
Cling,35,Physical,Fairy,0.9,15,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",a,Y,target_volatile,@Binding,1,,,,
Charming Tap,60,Physical,Fairy,1,20,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",a,Y,opponent_modifier,"0,-1,0,0,0,0,0,0,0",1,,,,
Sparkling Punch,80,Physical,Fairy,1,15,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",ae,Y,target_volatile,@Flinch,0.3,,,,
Sweet Dreams,0,Status,Fairy,9,15,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",b,Y,target_non_volatile,@Sleep,0.7,,,,
Wild Charge,90,Physical,Electric,1,15,,,,,,,,,,,,,,,0,0,0.25,0,0,"0,1",a,,no_effect,,1,,,,
Will-O-Wisp,0,Status,Fire,0.85,15,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,target_non_volatile,@Burn,1,,,,
Wood Hammer,120,Physical,Grass,1,15,,,,,,,,,,,,,,,0,0,0.333333333,0,0,"0,1",a,,no_effect,,1,,,,
X-Scissor,80,Physical,Bug,1,20,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",a,,no_effect,,1,,,,
Yawn,0,Status,Normal,9,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,target_volatile,@Yawn,1,,,,
Zap Cannon,120,Special,Electric,0.5,5,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",i,,target_non_volatile,@Paralysis,1,,,,
Zen Headbutt,80,Physical,Psychic,0.9,15,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",a,,target_volatile,@Flinch,0.2,,,,
Heal Bell,0,Status,Normal,9,5,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",b,,team_status_heal,,1,,,,
Aromatherapy,0,Status,Grass,9,5,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",b,,team_status_heal,,1,,,,
Smack Down,50,Physical,Rock,1,20,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,target_volatile,@Grounded,1,,,,in code: could be data: hits a target in the air (Scripts/Battle/battle_move_execution.py:130)
Magnet Rise,0,Status,Electric,9,20,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,user_volatile,@Ungrounded,1,,,,
Double Sickle,50,Physical,Ghost,0.9,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,2",a,Y,target_non_volatile|hp_draining,@Poison|0.15,0.2,,,,
Octolock,0,Status,Fighting,1,15,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,target_volatile|target_volatile,@Trapped|@Octolock,1,,,,
Fish Needle,90,Special,Water,1,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,Y,target_non_volatile,@BadPoison,0.3,,,,
Enragement,70,Physical,Flying,1,5,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,Y,retaliation,,1,,,,
Annihilation,240,Physical,Fighting,0.7,5,,,,,,,,,,,,,,Charging,0,0,0.25,0,0,"0,1",a,Y,no_effect,,1,,,,
Crystalline Clone,0,Status,Ice,9,10,,,,,,,,,,,,,,,0,0,0,0,0,"1,5",b,Y,self_modifier,"0,0,0,1,0,0,0,1,0",0.5,,,,
Bodhisattva,60,Special,Ground,1,10,,,,Flying,,,,,,,,,,,0,-2,0,0,0,"0,1",a,Y,self_modifier,"0,0,0,0,1,0,0,0,0",1,,,,
Lotus Petal,60,Special,Grass,1,20,,,,,,,,,,,,,,,0,1,0,0,0,"0,1",,Y,no_effect,,1,,,,
Unbreakable Will,0,Status,Fighting,9,5,,,,,,,,,,,,,,,0,0,0,0.25,0,"0,1",b,Y,self_modifier,"0,1,1,1,1,1,0,0,0",1,,,,
Clangorous Soul,0,Status,Dragon,9,5,,,,,,,,,,,,,,,0,0,0,0.333333333,0,"0,1",b,,self_modifier,"0,1,1,1,1,0,0,0,0",1,,,,
Moon Slash,80,Physical,Dark,1,15,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",a,Y,hp_draining,0.25,1,,,,
Dragon Crescent,80,Physical,Dragon,1,10,,,,,,,,,,,,,,,1,0,0,0,0,"0,1",a,Y,target_volatile,@Flinch,0.2,,,,
First Strike,60,Physical,Steel,1,20,,,,,,,,,,,,,,,0,2,0,0,0,"0,1",a,Y,no_effect,,1,,,,
Fishious Rend,85,Physical,Water,1,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",ad,,before_hand,,1,,,,
Total Concentration,0,Status,Normal,9,5,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",b,Y,user_volatile|user_volatile,@TotalConcentration|@Trapped,1,,,,
Nichirin Sword,90,Physical,Water,1,10,,,,,,,,,,,,,"Fire,Water",,0,0,0,0,0,"0,1",a,Y,no_effect,,1,,,,
Techno Blast,120,Special,Normal,1,5,,,,,,,,,,,,,"Water,Normal",,0,0,0,0,0,"0,1",,,no_effect,,1,,,,
Tidal Surge,90,Special,Water,0.9,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,Y,target_volatile,@Confused,0.3,,,,
Boulder Smash,100,Physical,Rock,0.7,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,Y,target_volatile,@Confused,0.5,,,,
Thunderous Trident,120,Special,Electric,0.8,5,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,Y,target_volatile,@Flinch,0.3,,Rain:always_hits,,
Cryokinesis,80,Special,Psychic,1,15,,,,,,,,,,,,Ice,,,0,0,0,0,0,"0,1",,Y,target_non_volatile,@Freeze,0.1,,,,
Clear Smog,50,Special,Poison,9,15,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,reset_target_modifier,,1,,,,
Haze,0,Status,Ice,9,30,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",b,,reset_target_modifier|reset_user_modifier,|,1,,,,
Court Change,0,Status,Normal,9,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",b,,swap_barrier,,1,,,,
Revenant Charge,100,Physical,Ghost,1,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",a,Y,opponent_modifier,"0,0,-1,0,0,0,0,0,0",0.5,,,,
Battle Axe,65,Physical,Rock,1,15,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",a,Y,hp_draining,0.25,1,,,,
Thunderclap,80,Physical,Electric,1,15,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",a,Y,target_non_volatile,@Paralysis,0.2,,,,
Chaotic Shockwave,80,Physical,Electric,0.7,10,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",abf,Y,target_volatile,@Flinch,0.3,,,,
Feint,30,Physical,Normal,1,10,,,,,,,,,,,,,,,0,2,0,0,0,"0,1",b,,no_effect,,1,,,,
Lock-On,0,Status,Normal,9,5,,,,,,,,,,,,,,,0,0,0,0,0,"0,1",,,target_volatile,@TakeAim,1,,,,
